Month,Year,StationCode,salmon.id,CommonName,Age_ClassByLength,Tag,FieldLength_mm,LabLength_mm,fish_mass,FultonCondition,FINAL_GSI,PBTHatcheryAssignment,StartLat,StartLong
May,2015,052415MC4,35011,Chinook salmon,yearling,NO,120,122,16.8,0.972222178,Interior_Sp,Wild,46.17117,-124.451
May,2015,052515MC9,35111,Chinook salmon,yearling,NO,137,130,23.5,0.913915748,Interior_Sp,Wild,46.34917,-124.3903
May,2015,052515MC11,35173,Chinook salmon,yearling,NO,135,135,23.1,0.938881284,Interior_Sp,Wild,46.28783,-124.3337
May,2015,052515MC11,35186,Chinook salmon,yearling,NO,113,112,12.3,0.852451713,Interior_Sp,Wild,46.28783,-124.3337
May,2015,052615MC14,35280,Chinook salmon,yearling,NO,120,114,14.6,0.844907429,Interior_Sp,Wild,46.31533,-124.3245
May,2015,052615MC16,35295,Chinook salmon,yearling,NO,135,129,22.6,0.918559178,Interior_Sp,Wild,46.3475,-124.4012
May,2015,052615MC17,35321,Chinook salmon,yearling,NO,137,131,22.9,0.890581714,Interior_Sp,Wild,46.3115,-124.3537
May,2015,052615MC17,35327,Chinook salmon,yearling,NO,120,118,14.7,0.850694433,Interior_Sp,Wild,46.3115,-124.3537
May,2015,052615MC18,35340,Chinook salmon,yearling,NO,130,125,19.1,0.869367336,Interior_Sp,Wild,46.28683,-124.3235
May,2015,052615MC19,35405,Chinook salmon,yearling,NO,115,115,12.7,0.835045603,Interior_Sp,Wild,46.25583,-124.3223
May,2015,052715MC25,35665,Chinook salmon,yearling,NO,147,156,33.8,1.064056493,Interior_Sp,Wild,46.1635,-124.4542
May,2016,052416MC2,36637,Chinook salmon,yearling,NO,112,107,14.6,1.039199189,Interior_Sp,Wild,46.58217,-124.4323
May,2016,052416MC2,36638,Chinook salmon,yearling,NO,123,117,18.1,0.972664913,Interior_Sp,Wild,46.58217,-124.4323
May,2016,052416MC2,36639,Chinook salmon,yearling,NO,122,118,18.9,1.040835996,Interior_Sp,Wild,46.58217,-124.4323
May,2016,052416MC6,36754,Chinook salmon,yearling,NO,122,117,16.9,0.930694619,Interior_Sp,Wild,46.685,-124.4085
May,2016,052416MC7,36756,Chinook salmon,yearling,NO,119,112,15.4,0.913860331,Interior_Sp,Wild,46.6735,-124.404
May,2016,052416MC7,36757,Chinook salmon,yearling,NO,136,130,20.4,0.810986144,Interior_Sp,Wild,46.6735,-124.404
May,2016,052416MC7,36758,Chinook salmon,yearling,NO,115,110,16,1.052025972,Interior_Sp,Wild,46.6735,-124.404
May,2016,052416MC8,36791,Chinook salmon,yearling,NO,130,122,20.7,0.942193936,Interior_Sp,Wild,46.685,-124.4055
May,2016,052516MC9,36806,Chinook salmon,yearling,NO,118,116,17.6,1.071190359,Interior_Sp,Wild,46.68467,-124.405
May,2016,052516MC10,36848,Chinook salmon,yearling,NO,151,143,34.604,1.005068039,Interior_Sp,Wild,46.613,-124.3683
May,2016,052516MC11,36857,Chinook salmon,yearling,NO,142,135,26.7,0.932494418,Interior_Sp,Wild,46.54417,-124.3633
May,2016,052516MC12,36866,Chinook salmon,yearling,NO,112,106,11.5,0.818547285,Interior_Sp,Wild,46.4895,-124.3515
May,2016,052616MC19,37025,Chinook salmon,yearling,NO,128,122,18.6,0.886917132,Interior_Sp,Wild,46.25783,-124.2898
May,2016,052716MC27,37297,Chinook salmon,yearling,NO,129,122,24.7,1.150609183,Interior_Sp,Wild,46.6845,-124.4075
May,2016,052716MC27,37300,Chinook salmon,yearling,NO,136,129,26.5,1.053486922,Interior_Sp,Wild,46.6845,-124.4075
May,2016,052816MC30,37399,Chinook salmon,yearling,NO,118,113,16.3,0.992068276,Interior_Sp,Wild,46.681,-124.4102
May,2016,052816MC32,37432,Chinook salmon,yearling,NO,152,145,36.3,1.033655577,Interior_Sp,Wild,46.68567,-124.4173
May,2016,052816MC34,37467,Chinook salmon,yearling,NO,130,128,22.3,1.015020448,Interior_Sp,Wild,46.65217,-124.3357
May,2016,052916MC37,37594,Chinook salmon,yearling,NO,115,110,15.7,1.032300472,Interior_Sp,Wild,47.32383,-124.6742
May,2016,052916MC38,37715,Chinook salmon,yearling,NO,140,132,27.4,0.99854226,Interior_Sp,Wild,47.32433,-124.659
May,2016,052916MC39,37792,Chinook salmon,yearling,NO,133,131,24.8,1.054136241,Interior_Sp,Wild,47.33017,-124.622
May,2016,052916MC39,37793,Chinook salmon,yearling,NO,116,104,14.2,0.909733884,Interior_Sp,Wild,47.33017,-124.622
May,2016,052916MC43,38040,Chinook salmon,yearling,NO,135,131,24,0.975461058,Interior_Sp,Wild,47.332,-124.6157
May,2016,052916MC43,38041,Chinook salmon,yearling,NO,138,127,23.5,0.894191636,Interior_Sp,Wild,47.332,-124.6157
May,2016,053016MC49,38427,Chinook salmon,yearling,NO,143,138,34.2,1.169547873,Interior_Sp,Wild,47.0635,-124.6152
May,2016,053016MC49,38432,Chinook salmon,yearling,NO,133,130,23.2,0.986127514,Interior_Sp,Wild,47.0635,-124.6152
May,2016,053016MC49,38436,Chinook salmon,yearling,NO,150,140,38.2,1.131851874,Interior_Sp,Wild,47.0635,-124.6152
May,2016,053016MC50,38521,Chinook salmon,yearling,NO,113,109,15.7,1.088088742,Interior_Sp,Wild,47.06733,-124.6087
May,2016,053016MC50,38522,Chinook salmon,yearling,NO,145,141,35.8,1.174299864,Interior_Sp,Wild,47.06733,-124.6087
May,2016,053016MC50,38525,Chinook salmon,yearling,NO,144,139,33.2,1.111861308,Interior_Sp,Wild,47.06733,-124.6087
May,2016,053016MC50,38527,Chinook salmon,yearling,NO,162,155,49.5,1.164287287,Interior_Sp,Wild,47.06733,-124.6087
May,2017,052417MC8,39806,Chinook salmon,yearling,NO,131,126,21.5,0.95636698,Interior_Sp,Wild,47.60367,-124.7245
May,2017,052417MC11,39863,Chinook salmon,yearling,NO,147,139,37.6,1.183684125,Interior_Sp,Wild,47.38083,-124.6293
