salmon.id,Tag,FieldLength_mm,LabLength_mm,fish_mass,FultonCondition,PBTHatcheryAssignment,Year,otolith.width.mic,oe_ow,oe.julian.day,cap.julian.day,oceanres.d,ocean.growth,Basin,Station.Code,Sample.Date,Otolith_Category
41143,YES,161,157,42,1.006402397,Clearwater,2018,2695.93,2695.93,145,146,1,NA,Snake,052618MC22,5/26/2018,1
35280,NO,120,114,14.6,0.844907429,Wild,2015,1949.99,1949.99,145,146,1,NA,Wild,052615MC14,5/26/2015,1
37145,YES,181,175,59.236,0.998964374,Pahsimeroi,2016,2801.63,2801.63,146,147,1,NA,Snake,052616MC20,5/26/2016,1
44591,YES,160,155,36.1,0.881347619,Clearwater,2021,2558.6,NA,142,143,1,NA,Snake,052321MC8,5/23/2021,1
44433,NO,135,133,21.8,0.886043763,Wild,2021,2256.7,NA,141,142,1,NA,Wild,052221MC2,5/22/2021,1
42503,YES,170,169,61.8,1.257887222,Carson,2019,2387.91,2387.91,137,139,2,NA,Mid,051919MC2,5/19/2019,1
42550,YES,133,132,23,0.977626383,Winthrop,2019,2475.72,2475.72,138,140,2,NA,Upper,052019MC7,5/20/2019,1
36727,YES,149,143,33.8,1.021781147,Sawtooth,2016,2454,2435,143,145,2,9.5,Snake,052416MC5,5/24/2016,1
40663,YES,151,145,33.7,0.978811513,Rapid River,2018,2296.86,2296.86,142,144,2,NA,Snake,052418MC6,5/24/2018,1
35333,YES,149,145,27.5,0.831330834,McCall,2015,2392.9,2392.9,144,146,2,NA,Snake,052615MC17,5/26/2015,1
36866,NO,112,106,11.5,0.818547285,Wild,2016,1953.24,1953.24,144,146,2,NA,Wild,052516MC12,5/25/2016,1
37358,YES,171,162,41.881,0.837584588,Clearwater,2016,2585.22,2585.22,146,148,2,NA,Snake,052716MC28,5/27/2016,1
37715,NO,140,132,27.4,0.99854226,Wild,2016,2228.82,2228.82,148,150,2,NA,Wild,052916MC38,5/29/2016,1
37792,NO,133,131,24.8,1.054136241,Wild,2016,2215.21,2215.21,148,150,2,NA,Wild,052916MC39,5/29/2016,1
38158,YES,166,162,42.7,0.933476993,Pahsimeroi,2016,2717.85,2717.85,149,151,2,NA,Snake,053016MC44,5/30/2016,1
44856,YES,150,148,40.3,1.194074051,Carson,2021,2435.3,NA,142,144,2,NA,Mid,052421MC12,5/24/2021,1
44785,NO,162,155,46.2,1.086668152,Wild,2021,2365.7,NA,142,144,2,NA,Wild,052421MC11,5/24/2021,1
42528,YES,151,NA,31.9,0.926530747,Carson,2019,2491.51,2491.51,136,139,3,NA,Mid,051919MC5,5/19/2019,2
42519,YES,145,140,31,1.016851859,Dworshak,2019,2193.11,2193.11,136,139,3,NA,Snake,051919MC5,5/19/2019,2
42512,YES,151,NA,41.3,1.199552339,Rapid River,2019,2436.39,2436.39,136,139,3,NA,Snake,051919MC4,5/19/2019,2
42515,YES,131,129,22.4,0.996400929,Sawtooth,2019,2321.28,2321.28,136,139,3,NA,Snake,051919MC5,5/19/2019,2
42525,NO,145,142,29,0.951248514,Wild,2019,2295.78,2295.78,136,139,3,NA,Wild,051919MC5,5/19/2019,2
42609,YES,151,150,31.3,0.909103825,Clearwater,2019,2575.94,2575.94,137,140,3,NA,Snake,052019MC8,5/20/2019,2
42603,YES,131,128,27.3,1.214363619,Rapid River,2019,2442.99,2442.99,137,140,3,NA,Snake,052019MC8,5/20/2019,2
36794,YES,132,127,21.4,0.930447711,Dworshak,2016,2127.27,2109.225297,142,145,3,6.014901,Snake,052416MC8,5/24/2016,2
42695,YES,141,139,24,0.85615797,Clearwater,2019,2435.42,2435.42,140,143,3,NA,Snake,052319MC12,5/23/2019,2
35077,YES,145,141,26.6,0.872524511,McCall,2015,2376.47,2376.47,141,144,3,NA,Snake,052415MC5,5/24/2015,2
40499,YES,150,145,32.3,0.957037014,McCall,2018,2553.69,2553.69,141,144,3,NA,Snake,052418MC3,5/24/2018,2
40504,YES,132,125,22.4,0.973926577,Pahsimeroi,2018,2328.13,2328.13,141,144,3,NA,Snake,052418MC3,5/24/2018,2
40696,YES,137,135,26.2,1.018918863,Rapid River,2018,2424.4,2424.4,141,144,3,NA,Snake,052418MC7,5/24/2018,2
40475,YES,167,162,49.2,1.056369117,Sawtooth,2018,2707.9,2707.9,141,144,3,NA,Snake,052418MC2,5/24/2018,2
40620,YES,153,150,37.9,1.058193123,Sawtooth,2018,2295.74,2295.74,141,144,3,NA,Snake,052418MC5,5/24/2018,2
SBS61,YES,146,141,28.2,0.906130091,Sawtooth,2018,2301.71,2301.71,141,144,3,NA,Snake,052418SBSMC3,5/24/2018,2
36769,YES,163,156,38.3,0.884373971,Clearwater,2016,2701.2,2701.2,142,145,3,NA,Snake,052416MC7,5/24/2016,2
36783,YES,153,148,21.5,0.600294228,Clearwater,2016,2487.18,2487.18,142,145,3,NA,Snake,052416MC8,5/24/2016,2
36665,YES,117,101,14.6,0.911581036,Leavenworth,2016,2181.19,2181.19,142,145,3,NA,Upper,052416MC2,5/24/2016,2
35132,YES,148,143,24.4,0.752670116,McCall,2015,2393.25,2393.25,142,145,3,NA,Snake,052515MC10,5/25/2015,2
35267,YES,137,136,21.2,0.824468704,McCall,2015,2318.73,2318.73,142,145,3,NA,Snake,052515MC12,5/25/2015,2
35130,YES,151,150,28.4,0.824873767,Methow,2015,2381.76,2381.76,142,145,3,NA,Upper ,052515MC10,5/25/2015,2
36666,YES,152,148,36.3,1.033655577,Pahsimeroi,2016,2560.54,2560.54,142,145,3,NA,Snake,052416MC2,5/24/2016,2
36689,YES,170,162,51,1.038062284,Pahsimeroi,2016,2661.48,2661.48,142,145,3,NA,Snake,052416MC3,5/24/2016,2
40952,YES,161,155,47,1.126212206,Pahsimeroi,2018,2564.1,2564.1,142,145,3,NA,Snake,052518MC15,5/25/2018,2
36646,YES,158,151,37.5,0.950736149,Rapid River,2016,2619.53,2619.53,142,145,3,NA,Snake,052416MC2,5/24/2016,2
36688,YES,145,140,27.2,0.892205528,Sawtooth,2016,2245,2245,142,145,3,NA,Snake,052416MC3,5/24/2016,2
35173,NO,135,135,23.1,0.938881284,Wild,2015,2059.83,2059.83,142,145,3,NA,Wild,052515MC11,5/25/2015,2
40942,NO,122,NA,18.4,1.013300652,Wild,2018,1924.64,1924.64,142,145,3,NA,Wild,052518MC15,5/25/2018,2
36810,YES,153,148,33.9,0.946510476,Clearwater,2016,2500,2500,143,146,3,NA,Snake,052516MC9,5/25/2016,2
36882,YES,143,139,26,0.889129942,Dworshak,2016,2306.41,2306.41,143,146,3,NA,Snake,052516MC12,5/25/2016,2
35373,YES,160,144,29.1,0.710449228,McCall,2015,2378.47,2378.47,143,146,3,NA,Snake,052615MC18,5/26/2015,2
35459,YES,152,149,28.9,0.822937917,McCall,2015,2585.13,2585.13,143,146,3,NA,Snake,052615MC20,5/26/2015,2
36860,YES,162,152,37.28,0.876861274,McCall,2016,2593.25,2593.25,143,146,3,NA,Snake,052516MC11,5/25/2016,2
36876,YES,148,145,27,0.832872683,McCall,2016,2411.45,2411.45,143,146,3,NA,Snake,052516MC12,5/25/2016,2
36812,YES,152,147,34.2,0.973857362,Rapid River,2016,2491.51,2491.51,143,146,3,NA,Snake,052516MC9,5/25/2016,2
36813,YES,146,140,29.5,0.94790202,Rapid River,2016,2330,2330,143,146,3,NA,Snake,052516MC9,5/25/2016,2
36818,YES,144,140,29.4,0.984600039,Rapid River,2016,2460.97,2460.97,143,146,3,NA,Snake,052516MC9,5/25/2016,2
36886,YES,173,167,55.6,1.073832318,Rapid River,2016,2599.54,2599.54,143,146,3,NA,Snake,052516MC12,5/25/2016,2
36905,YES,137,134,25,0.972250796,Rapid River,2016,2387.75,2387.75,143,146,3,NA,Snake,052516MC12,5/25/2016,2
36870,YES,143,138,26.185,0.895456425,Sawtooth,2016,2212.26,2212.26,143,146,3,NA,Snake,052516MC12,5/25/2016,2
35327,NO,120,118,14.7,0.850694433,Wild,2015,2009.04,2009.04,143,146,3,NA,Wild,052615MC17,5/26/2015,2
36848,NO,151,143,34.604,1.005068039,Wild,2016,2340.6,2340.6,143,146,3,NA,Wild,052516MC10,5/25/2016,2
37308,YES,158,155,37.6,0.953271406,Clearwater,2016,2475.27,2475.27,145,148,3,NA,Snake,052716MC27,5/27/2016,2
41502,YES,188,180,70,1.053475627,Dworshak,2018,2667.47,2667.47,145,148,3,NA,Snake,052818MC38,5/28/2018,2
37304,YES,158,153,37.362,0.947237427,McCall,2016,2470.26,2470.26,145,148,3,NA,Snake,052716MC27,5/27/2016,2
37306,YES,158,142,32.388,0.821131809,McCall,2016,2555.62,2555.62,145,148,3,NA,Snake,052716MC27,5/27/2016,2
37354,YES,166,161,45.856,1.002471178,Rapid River,2016,2528.86,2528.86,145,148,3,NA,Snake,052716MC28,5/27/2016,2
37307,YES,145,139,30.371,0.996219554,Sawtooth,2016,2485.85,2485.85,145,148,3,NA,Snake,052716MC27,5/27/2016,2
37471,YES,133,130,20.743,0.881691482,Dworshak,2016,2319.42,2319.42,146,149,3,NA,Snake,052816MC34,5/28/2016,2
37415,YES,168,165,44.1,0.930059492,Rapid River,2016,2692.45,2692.45,146,149,3,NA,Snake,052816MC30,5/28/2016,2
37417,YES,172,172,51.2,1.006200727,Rapid River,2016,2586.21,2586.21,146,149,3,NA,Snake,052816MC30,5/28/2016,2
37439,YES,155,149,37.271,1.000866031,Rapid River,2016,2473.21,2473.21,146,149,3,NA,Snake,052816MC32,5/28/2016,2
37456,YES,152,145,32.3,0.919754133,Rapid River,2016,2481.53,2481.53,146,149,3,NA,Snake,052816MC33,5/28/2016,2
37936,YES,157,150,37.2,0.961266907,Methow,2016,2303.29,2303.29,147,150,3,NA,Upper,052916MC41,5/29/2016,2
38338,YES,167,162,47.2,1.013427284,Rapid River,2016,2555.92,2555.92,148,151,3,NA,Snake,053016MC47,5/30/2016,2
44798,YES,150,147,33.3,0.986666644,Clearwater,2021,2555.7,NA,141,144,3,NA,Snake,052421MC11,5/24/2021,2
