unique_origin,GroupDescription,Run,Basin,MigrYr,RearCode,RaceCode,SAR_Reach_originalSAR,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI,SRV_LGD_BON_CSS,SRV_MCN_BON_annualNOAA,inriver_survival_combined,dams,oceandist_km,TIR_Transtpinriverratio,prop_transport,corSAR_transport,corSARwJ_transport
Carson,Carson Hatchery Spring Chinook,Spring,Middle Columbia,2015,H,Spr,Bonneville Dam to Bonneville Dam,0.550,0.420,0.670,0.580,0.450,0.710,1.000,1.000,1.000,1.000,251.000,0.000,0.000,0.550,0.580
Warm Springs,Warm Springs Hatchery Spring Chinook,Spring,Middle Columbia,2015,H,Spr,Bonneville Dam to Bonneville Dam,0.750,0.570,0.960,0.880,0.680,1.100,1.000,1.000,1.000,2.000,464.000,0.000,0.000,0.750,0.880
Carson,Carson Hatchery Spring Chinook,Spring,Middle Columbia,2016,H,Spr,Bonneville Dam to Bonneville Dam,0.310,0.210,0.460,0.330,0.220,0.480,1.000,1.000,1.000,1.000,251.000,0.000,0.000,0.310,0.330
Warm Springs,Warm Springs Hatchery Spring Chinook,Spring,Middle Columbia,2016,H,Spr,Bonneville Dam to Bonneville Dam,0.500,0.330,0.680,0.740,0.510,1.000,1.000,1.000,1.000,2.000,464.000,0.000,0.000,0.500,0.740
Carson,Carson Hatchery Spring Chinook,Spring,Middle Columbia,2017,H,Spr,Bonneville Dam to Bonneville Dam,0.180,0.130,0.290,0.190,0.130,0.300,1.000,1.000,1.000,1.000,251.000,0.000,0.000,0.180,0.190
Warm Springs,Warm Springs Hatchery Spring Chinook,Spring,Middle Columbia,2017,H,Spr,Bonneville Dam to Bonneville Dam,0.120,0.030,0.320,0.140,0.030,0.370,1.000,1.000,1.000,2.000,464.000,0.000,0.000,0.120,0.140
Carson,Carson Hatchery Spring Chinook,Spring,Middle Columbia,2018,H,Spr,Bonneville Dam to Bonneville Dam,0.280,0.180,0.420,0.290,0.190,0.430,1.000,1.000,1.000,1.000,251.000,0.000,0.000,0.280,0.290
Warm Springs,Warm Springs Hatchery Spring Chinook,Spring,Middle Columbia,2018,H,Spr,Bonneville Dam to Bonneville Dam,0.130,0.080,0.240,0.140,0.080,0.250,1.000,1.000,1.000,2.000,464.000,0.000,0.000,0.130,0.140
Carson,Carson Hatchery Spring Chinook,Spring,Middle Columbia,2019,H,Spr,Bonneville Dam to Bonneville Dam,0.590,0.400,0.800,0.610,0.410,0.820,1.000,1.000,1.000,1.000,251.000,0.000,0.000,0.590,0.610
Warm Springs,Warm Springs Hatchery Spring Chinook,Spring,Middle Columbia,2019,H,Spr,Bonneville Dam to Bonneville Dam,0.600,0.400,0.820,0.630,0.430,0.860,1.000,1.000,1.000,2.000,464.000,0.000,0.000,0.600,0.630
